"Date","Price","Open","High","Low","Vol.","Change %"
"28/04/2021","132.09","132.02","132.20","131.72","1.71M","0.05%"
"27/04/2021","132.03","132.36","132.39","131.95","1.42M","-0.26%"
"26/04/2021","132.38","132.39","132.50","132.16","1.35M","-0.05%"
"23/04/2021","132.44","132.64","132.73","132.31","1.17M","-0.08%"
"22/04/2021","132.55","132.53","132.77","132.28","1.47M","0.02%"
"21/04/2021","132.53","132.58","132.64","132.36","1.26M","-0.02%"
"20/04/2021","132.56","132.20","132.61","131.98","1.41M","0.25%"
"19/04/2021","132.23","132.34","132.56","132.05","1.21M","-0.11%"
"16/04/2021","132.38","132.39","132.55","132.19","1.49M","-0.21%"
"15/04/2021","132.66","131.91","132.69","131.83","2.24M","0.56%"
"14/04/2021","131.92","132.11","132.19","131.78","1.34M","-0.12%"
"13/04/2021","132.08","131.70","132.12","131.38","1.75M","0.35%"
"12/04/2021","131.62","131.73","131.89","131.53","1.18M","-0.08%"
"09/04/2021","131.73","132.05","132.08","131.47","1.57M","-0.20%"
"08/04/2021","132.00","131.66","132.09","131.66","1.17M","0.13%"
"07/04/2021","131.83","131.67","131.95","131.58","1.41M","0.11%"
"06/04/2021","131.69","131.28","131.73","131.11","1.39M","0.44%"
"05/04/2021","131.11","130.95","131.27","130.80","919.10K","0.12%"
"02/04/2021","130.95","131.47","131.62","130.92","522.05K","-0.36%"
"01/04/2021","131.42","130.98","131.55","130.91","1.59M","0.37%"
"31/03/2021","130.94","131.30","131.30","130.91","2.35M","-0.19%"
"30/03/2021","131.19","131.39","131.42","130.81","1.89M","-0.13%"
"29/03/2021","131.36","131.64","131.98","131.30","1.45M","-0.31%"
"26/03/2021","131.77","131.95","132.12","131.62","1.49M","-0.28%"
"25/03/2021","132.14","132.12","132.30","131.89","2.05M","0.04%"
"24/03/2021","132.09","132.02","132.28","131.81","1.69M","0.13%"
"23/03/2021","131.92","131.48","132.09","131.44","1.56M","-0.63%"
"22/03/2021","132.75","132.62","132.78","132.62","4.55K","0.29%"
"19/03/2021","132.36","132.53","132.80","132.31","10.74K","-0.06%"
"18/03/2021","132.44","133.14","133.14","132.23","1.72K","-0.59%"
"17/03/2021","133.23","133.02","133.17","132.66","5.39K","0.11%"
"16/03/2021","133.08","133.19","133.30","133.02","2.02K","0.00%"
"15/03/2021","133.08","133.11","133.16","132.89","4.17K","0.13%"
"12/03/2021","132.91","133.61","133.61","132.89","9.88K","-0.61%"
"11/03/2021","133.72","133.58","134.09","133.52","14.66K","0.07%"
"10/03/2021","133.62","133.48","133.72","133.30","3.64K","0.16%"
"09/03/2021","133.41","132.97","133.48","132.97","2.40K","0.32%"
"08/03/2021","132.98","133.14","133.22","132.94","16.80K","-0.35%"
"05/03/2021","133.45","133.44","133.62","132.88","9.77K","-0.04%"
"04/03/2021","133.50","134.06","134.28","133.48","19.16K","-0.48%"
"03/03/2021","134.14","134.73","134.73","133.95","13.34K","-0.37%"
"02/03/2021","134.64","134.42","134.84","134.27","19.83K","0.27%"
"01/03/2021","134.28","134.27","134.58","134.09","34.64K","0.36%"
"26/02/2021","133.80","133.70","134.39","133.33","190.74K","0.10%"
"25/02/2021","133.67","135.23","135.28","133.08","2.01M","-1.10%"
"24/02/2021","135.16","135.55","135.72","134.86","3.62M","-0.19%"
"23/02/2021","135.42","135.34","135.56","135.20","4.34M","0.07%"
"22/02/2021","135.33","135.42","135.59","135.03","3.75M","-0.09%"
"19/02/2021","135.45","135.83","135.89","135.33","2.90M","-0.30%"
"18/02/2021","135.86","135.95","136.06","135.62","2.07M","0.08%"
"17/02/2021","135.75","135.66","135.95","135.47","3.26M","-0.02%"
"16/02/2021","135.78","136.45","136.47","135.64","3.26M","-0.29%"
"15/02/2021","136.18","136.32","136.35","136.05","","-0.10%"
"14/02/2021","136.32","136.49","136.49","136.29","","-0.17%"
"12/02/2021","136.55","136.81","136.94","136.47","1.56M","-0.23%"
"11/02/2021","136.86","136.98","137.06","136.80","1.37M","-0.04%"
"10/02/2021","136.92","136.70","136.98","136.58","1.58M","0.15%"
"09/02/2021","136.72","136.62","136.81","136.61","1.23M","0.02%"
"08/02/2021","136.69","136.67","136.78","136.45","1.34M","0.00%"
"05/02/2021","136.69","136.77","136.92","136.50","2.31M","-0.08%"
"04/02/2021","136.80","136.73","136.84","136.59","1.42M","0.00%"
"03/02/2021","136.80","137.02","137.02","136.72","1.40M","-0.10%"
"02/02/2021","136.94","137.16","137.22","136.88","1.22M","-0.18%"
"01/02/2021","137.19","137.17","137.30","137.06","1.19M","0.12%"
"29/01/2021","137.03","137.27","137.33","136.89","2.71M","-0.16%"
